BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;STAATSANGEHOERIGKEIT_CODE;STAATSANGEHOERIGKEIT_BEZEICHNUNG;ANZAHL_PERSONEN
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);191; 
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;119; 
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;8218;Italien;4; 
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;8231;Portugal;1; 
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);10; 
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;221; 
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;8218;Italien;15; 
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;8255;Mazedonien;20; 
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);88; 
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;281; 
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;8218;Italien;52; 
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;8255;Mazedonien;7; 
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;8231;Portugal;8; 
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);136; 
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;6525; 
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;8218;Italien;1295; 
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;8255;Mazedonien;1040; 
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;8231;Portugal;249; 
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);3057; 
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;168; 
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;8218;Italien;11; 
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;8231;Portugal;5; 
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);34; 
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;302; 
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;8218;Italien;61; 
