BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;GESCHLECHT_CODE;GESCHLECHT_BEZEICHNUNG;NATIONALITAET_CODE;NATIONALITAET_BEZEICHNUNG;ANZAHL_PERSONEN
4591;Matzingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;347; 
4601;Neunforn;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;505; 
4601;Neunforn;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;34; 
4601;Neunforn;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;469; 
4601;Neunforn;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;32; 
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;554; 
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;53; 
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;572; 
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;49; 
4611;Thundorf;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;710; 
4611;Thundorf;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;66; 
4611;Thundorf;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;663; 
4611;Thundorf;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;47; 
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;481; 
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;59; 
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;500; 
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;38; 
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;589; 
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;85; 
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;589; 
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;71; 
4641;Altnau;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;865; 
4641;Altnau;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;241; 
4641;Altnau;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;931; 
4641;Altnau;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;243; 
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;756; 
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;397; 
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;768; 
